1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,163,165,167,169,171,173,175,177,179,181,183,185,187,189,191,193,195,197,199,
0.0102147,0.00673242,0.00687746,0.00997003,0.00938581,0.00606634,0.00585094,0.00579387,0.00557211,0.00625098,0.00615876,0.00632241,0.00623146,0.00590479,0.00555782,0.00615527,0.00640814,0.00578569,0.00568748,0.00605364,0.00571345,0.00813926,0.00609001,0.00586411,0.0074148,0.00583143,0.00557591,0.00584528,0.00571328,0.00667585,0.00572075,0.0071469,0.00689851,0.00884759,0.00847615,0.00611281,0.00788067,0.00896775,0.00644881,0.00684711,0.00923749,0.00796308,0.00673476,0.00653902,0.00577657,0.00690139,0.00637483,0.00594393,0.00580068,0.00709853,0.00568426,0.00574849,0.00859625,0.00571718,0.00573668,0.00578388,0.00570615,0.0058739,0.00663365,0.00569899,0.00656432,0.00591993,0.00580159,0.00568975,0.00655306,0.00586971,0.00576474,0.00570976,0.00589817,0.00633669,0.00599629,0.0057862,0.00590043,0.0070923,0.00652779,0.00577459,0.00647358,0.00695063,0.00585373,0.00664099,0.00718663,0.00651071,0.00618366,0.00600371,0.00631757,0.00583156,0.00586735,0.00664575,0.00619463,0.00573002,0.00677441,0.00668058,0.00591228,0.00594823,0.00592143,0.00590635,0.00653448,0.00668319,0.00672514,0.00773602,
0.00989562,0.0059171,0.00658055,0.00882229,0.00861818,0.00780877,0.00582909,0.00575827,0.00678159,0.00803805,0.00620259,0.00612432,0.00597025,0.00575817,0.00581698,0.00768056,0.00593565,0.00562626,0.00604034,0.00582059,0.00557565,0.00770124,0.00604739,0.00566147,0.00651877,0.00589172,0.00589069,0.00572411,0.00585823,0.0064838,0.00636606,0.00762273,0.0108515,0.00803631,0.00754007,0.00589298,0.00632339,0.00958878,0.00585825,0.00598087,0.00717956,0.00655985,0.00597826,0.00587041,0.00585565,0.00621273,0.00675648,0.00569449,0.00615115,0.00625658,0.00600576,0.00559401,0.0064146,0.00568859,0.00584565,0.00578136,0.00570574,0.00593766,0.00637906,0.00676996,0.00584977,0.00580734,0.00589084,0.00675233,0.00602272,0.00615183,0.00592107,0.0056877,0.00579957,0.00589835,0.00575822,0.00567565,0.00601745,0.00586055,0.00622524,0.00590615,0.00598801,0.00618422,0.00633459,0.00656373,0.00588535,0.00655147,0.00616027,0.00595702,0.00585505,0.00590185,0.00715438,0.00710172,0.00691468,0.00611354,0.00584051,0.00576369,0.00600633,0.00578147,0.00589767,0.00640887,0.0064071,0.00768629,0.00664582,0.00670696,
0.00966274,0.00603127,0.00634381,0.0119643,0.00746083,0.00672486,0.00590847,0.00581855,0.00651548,0.00633318,0.00675198,0.00722167,0.00591268,0.00578879,0.00563174,0.00614005,0.00616561,0.00570902,0.00580572,0.0057503,0.00564334,0.00685182,0.0065088,0.00582003,0.00653404,0.00611413,0.00581751,0.00586343,0.00572808,0.0063981,0.0058263,0.00909815,0.0072647,0.00626831,0.00967456,0.00732686,0.00580151,0.00734782,0.00621829,0.00604048,0.00770922,0.00594602,0.00637694,0.00653852,0.00589385,0.00589758,0.00593095,0.00580934,0.00593212,0.0057788,0.00621807,0.00564216,0.0060537,0.00561023,0.00570627,0.00602518,0.0057918,0.00584775,0.00574293,0.00616057,0.00592386,0.00594749,0.00704793,0.00567324,0.00584246,0.00716723,0.00701459,0.00565796,0.00721076,0.00692729,0.00661552,0.00620917,0.0059764,0.00592201,0.00848248,0.00578067,0.00689307,0.00578274,0.00658643,0.00639666,0.00584259,0.00592691,0.0058125,0.00611697,0.00584967,0.0066554,0.00598429,0.00628556,0.00621444,0.00587116,0.00587499,0.00650681,0.00583165,0.00582915,0.00609364,0.00620274,0.00640175,0.00646004,0.0064967,0.00669234,
0.0100062,0.00586995,0.00617433,0.0105583,0.00862898,0.00655816,0.0061024,0.00574424,0.00606814,0.00647618,0.00631793,0.00684854,0.0056966,0.00596716,0.00559053,0.00781787,0.005853,0.00559289,0.00568666,0.00579892,0.0060221,0.00771377,0.00605203,0.00560173,0.00740633,0.00569749,0.00567441,0.00575574,0.00567728,0.00620892,0.00597402,0.00905133,0.00649854,0.0060048,0.00771055,0.00642875,0.00656801,0.00696829,0.00637462,0.00563754,0.00860035,0.00641599,0.00677936,0.00635479,0.00582524,0.00567028,0.00625027,0.00586231,0.00574745,0.00589697,0.00646077,0.00583964,0.00576766,0.00566035,0.00573552,0.0057262,0.00575828,0.00598083,0.00573382,0.00584224,0.00594248,0.00591235,0.00643888,0.00569664,0.00576033,0.00628709,0.00579416,0.0060048,0.00650471,0.00599753,0.00584841,0.00577874,0.00598412,0.00576237,0.00765601,0.00587515,0.00657507,0.00667352,0.00627805,0.00634154,0.0060737,0.00573347,0.00659712,0.00716248,0.0059853,0.00674742,0.00741638,0.00584754,0.00646467,0.00591615,0.00593571,0.00583927,0.00588173,0.00597131,0.00622763,0.00647993,0.00775765,0.00742644,0.00657076,0.00669718,
0.0100815,0.00596729,0.00598884,0.00847184,0.00893905,0.00668809,0.00578049,0.00579352,0.00670102,0.00641036,0.00629321,0.00672213,0.00570823,0.00571187,0.00555795,0.00653916,0.00594516,0.0059247,0.00596792,0.00568205,0.00570666,0.0065998,0.00782806,0.00566709,0.00589586,0.00588921,0.00561719,0.00572919,0.00567368,0.00619632,0.00582265,0.00731823,0.00712512,0.0061347,0.00842675,0.00640758,0.00577836,0.00807729,0.00606115,0.00615731,0.0070179,0.00586444,0.00944677,0.00949084,0.00593878,0.00563069,0.00605474,0.00612103,0.00577182,0.00573176,0.00598559,0.00572392,0.00613558,0.00598545,0.0058223,0.00576119,0.00582676,0.00592592,0.00574654,0.00599818,0.00601011,0.00612966,0.00636931,0.00686485,0.0058539,0.00587054,0.0057807,0.00632174,0.00597729,0.00644191,0.00585328,0.00637787,0.00588324,0.0098914,0.00885034,0.00622982,0.00599664,0.0063382,0.00690845,0.00672096,0.00629733,0.00688602,0.00630556,0.0061317,0.00700986,0.00584609,0.0058501,0.00579312,0.00588233,0.00638697,0.0059043,0.00589985,0.00600037,0.00662849,0.00597171,0.00612877,0.00803819,0.00666529,0.00652938,0.0102738,
0.00992548,0.00583701,0.00582168,0.00796562,0.00711796,0.00618414,0.0058663,0.00615867,0.00662891,0.00624551,0.00646594,0.00647434,0.0059836,0.00578288,0.00756365,0.00642483,0.0058431,0.0056824,0.00579162,0.00568643,0.00567234,0.00736996,0.0069161,0.0056145,0.00600981,0.00571583,0.00557079,0.00581523,0.00579612,0.00609183,0.00575428,0.00691945,0.00683098,0.00589649,0.00991188,0.0062563,0.00582721,0.00921855,0.0059536,0.00587403,0.00713757,0.00757184,0.00881665,0.00666863,0.00598994,0.00576609,0.00623386,0.00594118,0.00753026,0.00585385,0.00612011,0.00569795,0.00571925,0.005688,0.00571855,0.00571107,0.00571125,0.00576947,0.0059565,0.00587838,0.0078837,0.00589516,0.00634479,0.00573171,0.00575274,0.00589929,0.00806661,0.00612545,0.00617712,0.00606085,0.00621067,0.00583924,0.00637685,0.012221,0.00754807,0.00630259,0.00617261,0.00769769,0.00664037,0.00649977,0.00640274,0.00581131,0.00593497,0.00601138,0.00578204,0.00582851,0.00615791,0.00613608,0.00590148,0.00577212,0.00610658,0.00702802,0.00597906,0.00594197,0.00584651,0.0059658,0.00714215,0.00659863,0.00705793,0.00674243,
0.00991791,0.00655272,0.0057375,0.00901098,0.00850882,0.0100082,0.00603391,0.00643599,0.00629044,0.00600239,0.00625995,0.00672421,0.00635171,0.0062994,0.00669983,0.00686298,0.00600923,0.00568109,0.00603082,0.00566024,0.00576962,0.00663996,0.00728773,0.00561776,0.00581273,0.00578428,0.00567835,0.00588115,0.00570336,0.00614556,0.00591638,0.00687607,0.008093,0.00618668,0.00917709,0.00683405,0.00598414,0.00868524,0.00668932,0.00574599,0.00882094,0.00706801,0.0068532,0.00684224,0.00589883,0.00573203,0.00797114,0.00572373,0.0064642,0.00608737,0.00591339,0.00569499,0.00577114,0.00576504,0.0058225,0.00581109,0.00602724,0.00584709,0.00582369,0.00575775,0.00591076,0.0062321,0.0057603,0.00567425,0.00583684,0.00582357,0.00623084,0.00607727,0.00588344,0.00585663,0.00619235,0.00614358,0.00579195,0.00749332,0.00811303,0.00607302,0.00584447,0.00889879,0.00591489,0.00633824,0.00596211,0.00582607,0.00588945,0.00611121,0.00582987,0.00615391,0.0063925,0.00578096,0.0058066,0.00585907,0.00582176,0.00590762,0.00662835,0.00662057,0.00601298,0.00715321,0.00667694,0.00675285,0.006953,0.00696819,
0.00999594,0.0059723,0.00638247,0.00775882,0.00764273,0.0063658,0.00574249,0.00794041,0.00615884,0.00566749,0.00727978,0.00646049,0.00593374,0.00612877,0.00595933,0.00664806,0.00601177,0.00609595,0.00585881,0.00573535,0.00560288,0.00639313,0.00656942,0.00559505,0.00611637,0.00573681,0.00563496,0.00618791,0.00575617,0.00646055,0.00585966,0.00709169,0.00960484,0.00597609,0.008647,0.00627039,0.00585191,0.00632146,0.00659434,0.00649346,0.00679202,0.0061405,0.0068966,0.0065311,0.00576888,0.00566857,0.00633081,0.00596991,0.00577792,0.00572817,0.00604838,0.00566496,0.00592291,0.00568155,0.00575624,0.00619464,0.0062237,0.00595605,0.00578591,0.00694939,0.00590387,0.00638916,0.0059184,0.00616043,0.00586996,0.00605968,0.00589068,0.00603714,0.00597275,0.00589876,0.00583369,0.005771,0.00628868,0.00797592,0.00739576,0.00591076,0.00627394,0.00750666,0.00577132,0.00638501,0.00587836,0.00596165,0.00641816,0.00599147,0.00605407,0.00591545,0.00643726,0.00675593,0.00582723,0.00585287,0.00586668,0.00621084,0.0057721,0.00586738,0.00603374,0.00604137,0.00681941,0.00688925,0.00753703,0.00659359,
0.0104673,0.00716184,0.00576647,0.00731053,0.00713607,0.00687001,0.00586048,0.00646274,0.00610507,0.00722786,0.00683446,0.0058289,0.00580998,0.00604787,0.00554052,0.00725914,0.00586766,0.00565856,0.00569331,0.00571874,0.00570864,0.0063835,0.00760431,0.00570572,0.00592272,0.00585046,0.00567331,0.005901,0.00578978,0.00629321,0.00651026,0.00749676,0.00813214,0.00575165,0.00700332,0.00601215,0.00605153,0.0072821,0.00598211,0.00888577,0.00911108,0.00675065,0.00693607,0.00601689,0.00584065,0.00607773,0.00600098,0.00605298,0.00586814,0.00585775,0.00585023,0.00573472,0.00572928,0.00562853,0.00579502,0.00631959,0.00637539,0.00583015,0.00630313,0.00624094,0.00591169,0.00643621,0.0063946,0.00572507,0.00589633,0.00611638,0.00579966,0.00594171,0.00687932,0.0061505,0.00588888,0.00570779,0.00588982,0.00625859,0.00620846,0.00623433,0.00640334,0.00614,0.00595567,0.00635193,0.00618042,0.00587576,0.00608076,0.00599275,0.00611823,0.00592205,0.00664108,0.00616077,0.00631655,0.00688238,0.00639293,0.00597895,0.00618582,0.00587854,0.00618382,0.00593527,0.00649956,0.00651159,0.00736829,0.0100395,
0.00984202,0.00668327,0.00603296,0.00724366,0.00643634,0.00629642,0.00617163,0.00620419,0.00600871,0.00634271,0.00688246,0.00599199,0.00564944,0.00606538,0.00555947,0.00628522,0.00591081,0.00570867,0.00573336,0.00602766,0.00568232,0.0063239,0.00658415,0.0056063,0.00619841,0.00581682,0.00570071,0.00582026,0.00572694,0.00616755,0.00632022,0.00696506,0.00676118,0.00672222,0.00640244,0.00616661,0.00595984,0.00631234,0.00688139,0.00651212,0.011456,0.00647669,0.00698409,0.00581333,0.00579166,0.00568527,0.00626548,0.00594909,0.0059273,0.00567377,0.00576494,0.00575898,0.0057342,0.00603518,0.00570933,0.00574395,0.00608951,0.00598129,0.00624299,0.00606516,0.00607051,0.0075644,0.00647196,0.00581468,0.00612753,0.00581587,0.005819,0.00728135,0.00587284,0.0057012,0.00581895,0.00585388,0.00599858,0.00582841,0.00594849,0.00584299,0.00575194,0.00669558,0.00583545,0.0073877,0.0059922,0.00577433,0.00648768,0.00600026,0.0069289,0.00593057,0.00603073,0.0058403,0.00600083,0.00625242,0.00601806,0.0057958,0.00607717,0.00617606,0.00592215,0.00597311,0.0068979,0.00930268,0.00657175,0.00957346,
