,1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,163,165,167,169,171,173,175,177,179,181,183,185,187,189,191,193,195,197,199
,0.00943039,0.00720835,0.00645851,0.0059529,0.00595314,0.00590769,0.00603331,0.00641752,0.00599371,0.00613263,0.00587809,0.00586622,0.0056816,0.00598617,0.00597591,0.00702606,0.00646333,0.0062184,0.00580309,0.00625969,0.00582768,0.0058665,0.00582431,0.00607402,0.00608494,0.00573056,0.00622344,0.00595514,0.00671658,0.00685221,0.0059604,0.00583568,0.00645624,0.00625203,0.0057714,0.0064996,0.00586614,0.00564585,0.00571903,0.00625884,0.00567585,0.00581211,0.00562692,0.00608889,0.00816756,0.00598189,0.00589644,0.0058291,0.00662238,0.00604189,0.00568414,0.00718585,0.00599779,0.00574153,0.00578818,0.00561041,0.00754193,0.00568267,0.00574221,0.00571859,0.00579722,0.00617225,0.00574399,0.00574012,0.00644669,0.00611101,0.00576037,0.00578461,0.00576347,0.00662135,0.00586731,0.00591026,0.00573824,0.00575151,0.00636024,0.00593365,0.00587521,0.00569248,0.00580708,0.00581692,0.00629791,0.00782521,0.00604161,0.0058814,0.0061775,0.00599363,0.00735134,0.00581768,0.00615765,0.00595231,0.00585589,0.00595274,0.0061037,0.00589828,0.00589819,0.00580504,0.00595434,0.00582124,0.00597801,0.00599321
,0.00858435,0.0091451,0.00645663,0.00641931,0.00597534,0.00589204,0.00581927,0.00607132,0.00725326,0.00592661,0.00605931,0.00595071,0.00623881,0.00599199,0.00600465,0.00597989,0.00629405,0.0065464,0.00695035,0.00605837,0.00571746,0.00637634,0.00566236,0.00591654,0.00637381,0.0065411,0.00569792,0.00618637,0.00594922,0.00604391,0.005921,0.00586647,0.00590177,0.00614951,0.00569098,0.00621896,0.0058598,0.00596127,0.00568023,0.00600898,0.00681623,0.00589589,0.00600106,0.00610937,0.00642001,0.00623359,0.00572282,0.0057093,0.00651269,0.00598567,0.00617549,0.00589888,0.00670773,0.0058728,0.00570855,0.00610441,0.00634474,0.00702057,0.00573144,0.00595153,0.00634193,0.0061277,0.0062871,0.0057232,0.00581233,0.00582542,0.00652412,0.00615782,0.00571278,0.00577957,0.00564643,0.00601823,0.00577497,0.00575888,0.00573127,0.00567319,0.00581378,0.0060839,0.00607119,0.00577637,0.00880822,0.00811125,0.00587933,0.0063709,0.00584705,0.00623349,0.00586618,0.00580718,0.00597985,0.00754727,0.00580366,0.00572181,0.00584128,0.00580487,0.00692868,0.00601596,0.00578179,0.00598755,0.00579522,0.00641805
,0.0119028,0.00729037,0.00637305,0.00633655,0.00662571,0.00577472,0.00622104,0.00588305,0.00656955,0.00587081,0.00652354,0.00596309,0.00601513,0.0059644,0.00617224,0.00618831,0.00611171,0.0061073,0.0062461,0.00615211,0.0065873,0.00582545,0.00627305,0.00581008,0.00644617,0.00604898,0.00605945,0.00569174,0.00576733,0.00578257,0.00649468,0.00574954,0.00577341,0.00671978,0.00617617,0.00627995,0.00597209,0.00665576,0.0057096,0.00590082,0.00583232,0.00581797,0.00575478,0.00560292,0.00586582,0.00569671,0.00825909,0.00592662,0.00629357,0.00595452,0.0064662,0.00586853,0.00585367,0.00685674,0.00618235,0.00578042,0.00617783,0.00570665,0.00678623,0.00595708,0.0057369,0.00692368,0.00572281,0.00654887,0.00571078,0.00565455,0.00617005,0.00594495,0.00682283,0.00590707,0.00589311,0.0060714,0.00577619,0.00580719,0.00600062,0.00569883,0.00578842,0.00600531,0.00639496,0.00627464,0.00583663,0.0090439,0.00584611,0.0058588,0.00579029,0.00690823,0.00590387,0.00597267,0.00570813,0.00597901,0.00603166,0.00609868,0.00644249,0.00605501,0.00598192,0.00589294,0.00605495,0.00595823,0.0061099,0.00597253
,0.00944495,0.00714507,0.00708463,0.00627543,0.0062751,0.00623605,0.0059569,0.00589181,0.00626196,0.00722776,0.00630977,0.00595207,0.00620011,0.00584488,0.00588769,0.0059093,0.00597731,0.00610018,0.00606379,0.00616262,0.00598808,0.00578971,0.00603351,0.00602108,0.00610439,0.00609047,0.00574722,0.00632714,0.00579129,0.00604352,0.00610187,0.00619027,0.00559,0.00588175,0.00568889,0.0056656,0.0061429,0.00619143,0.00616072,0.00572851,0.00566076,0.00561334,0.00563545,0.00612674,0.00566743,0.00574153,0.00719397,0.00570793,0.00596652,0.00772634,0.00615624,0.00656981,0.00585578,0.0065107,0.00594817,0.0055989,0.00632806,0.00576701,0.00574355,0.00646293,0.0061502,0.00575642,0.00564788,0.00584076,0.00611085,0.0060687,0.00586928,0.00589575,0.00594182,0.00605601,0.00572669,0.00589574,0.00576365,0.00580106,0.00571603,0.00573874,0.00572482,0.00607788,0.00646803,0.005818,0.00586719,0.0082291,0.00587554,0.0057423,0.00741745,0.00616993,0.00600027,0.00597301,0.00618384,0.00583821,0.00584844,0.00586927,0.00600991,0.00588403,0.0059582,0.0062544,0.00584905,0.00724019,0.00592698,0.00736707
,0.00856686,0.00710309,0.00649792,0.0061556,0.00610298,0.00614916,0.00606037,0.00604784,0.00603362,0.0060093,0.00608213,0.00570772,0.00569502,0.00718295,0.00588408,0.00595096,0.00576262,0.006088,0.0057582,0.00610822,0.00666317,0.00576158,0.00583146,0.00605746,0.00628557,0.00571418,0.00615751,0.00587394,0.00631885,0.00623321,0.00568971,0.00588152,0.0068145,0.00577685,0.00557033,0.00669541,0.0059482,0.00635444,0.00579737,0.00668951,0.00678804,0.0064582,0.00600936,0.00578732,0.00722356,0.00617505,0.00656749,0.00563665,0.00622561,0.00601682,0.00561659,0.00590584,0.00564759,0.00623867,0.00565573,0.00584469,0.00574849,0.00639107,0.00572557,0.0058558,0.00585893,0.00580777,0.00612246,0.00566569,0.00583627,0.00577828,0.00586243,0.00604955,0.00575426,0.00586358,0.00595709,0.00604503,0.00580011,0.00575177,0.00567849,0.00578624,0.00572601,0.00582433,0.00593621,0.00575667,0.00586342,0.00667957,0.00577914,0.00584105,0.00589777,0.00580861,0.00577615,0.00614906,0.00587445,0.00609472,0.00679111,0.00699339,0.00576804,0.00714506,0.00609173,0.0059136,0.00755354,0.00601882,0.00590901,0.00592713
,0.00803644,0.00695338,0.0064281,0.00600133,0.00595776,0.00589384,0.00597114,0.00756361,0.00585946,0.00596139,0.00590032,0.00559463,0.00672249,0.00600725,0.00584728,0.00656708,0.0059845,0.00625884,0.00652643,0.00575725,0.00632776,0.00641876,0.00563395,0.00598026,0.00617975,0.00679518,0.00590453,0.00626173,0.00583899,0.00618392,0.00582394,0.00589827,0.00586113,0.0056228,0.00747892,0.00595511,0.00579198,0.00571707,0.00558189,0.00575635,0.00583844,0.00595498,0.00602861,0.00564127,0.00621041,0.00596702,0.00599506,0.00680855,0.00614535,0.00581682,0.00599672,0.00606724,0.00634743,0.00637348,0.0064218,0.00621115,0.00574096,0.00584659,0.00691597,0.00565682,0.00576009,0.00699448,0.00577662,0.00678951,0.00568738,0.00575511,0.00577912,0.0056912,0.00641399,0.00642111,0.00648049,0.0059567,0.0057345,0.0057429,0.00576941,0.00582477,0.00575579,0.00573464,0.00585489,0.00584639,0.00582972,0.00602525,0.00613318,0.00572329,0.00652879,0.00586385,0.00604818,0.00581945,0.0069263,0.00586265,0.00587078,0.00586278,0.00605966,0.00583426,0.00598011,0.00591439,0.00604473,0.00598209,0.00602053,0.00631547
,0.00886973,0.00782439,0.00645901,0.00647603,0.0057762,0.00587479,0.00586022,0.0071017,0.00685876,0.00577482,0.00574406,0.00689076,0.00598057,0.00624895,0.00578753,0.00625839,0.00619992,0.00611698,0.00615002,0.00620744,0.00638489,0.00594864,0.00643928,0.00573151,0.00597396,0.00583394,0.00620237,0.00636963,0.00586388,0.00567129,0.00599429,0.00565948,0.00570196,0.00569808,0.00592419,0.00566843,0.00663755,0.00601892,0.00602641,0.00608239,0.0059778,0.00588456,0.00586448,0.00644174,0.00560583,0.00568233,0.00577935,0.00597873,0.00564428,0.0062221,0.00604501,0.00577151,0.00573431,0.00626369,0.00607479,0.00616661,0.00739999,0.00614616,0.00596805,0.0063534,0.00569388,0.00588008,0.00621742,0.00580654,0.00592911,0.00607354,0.00667932,0.00784567,0.00589336,0.00587738,0.00607772,0.00639045,0.0059306,0.00579985,0.00581991,0.00574077,0.00568808,0.00625896,0.00611043,0.00597261,0.00581372,0.00624143,0.00584792,0.00582817,0.00760775,0.00725019,0.00596601,0.00583062,0.00592859,0.00630593,0.00576206,0.0057251,0.00583231,0.00590008,0.0067632,0.00609151,0.00586364,0.00625958,0.00582647,0.00605117
,0.00895082,0.00717178,0.00650799,0.00660501,0.00663141,0.00746208,0.00669771,0.00704772,0.00629932,0.00577637,0.00685483,0.00626145,0.00585594,0.00579167,0.00654153,0.00604734,0.00621144,0.00589945,0.00590903,0.00624094,0.006202,0.00580945,0.00591777,0.00576596,0.00574787,0.00576698,0.00595596,0.00672866,0.00582502,0.00598117,0.00748369,0.00592191,0.00569652,0.00566741,0.00595648,0.00561641,0.00589123,0.00656271,0.00565213,0.00561081,0.0060304,0.00560285,0.00668475,0.00597394,0.00721788,0.00574005,0.00676038,0.00578902,0.00687494,0.00590343,0.00565539,0.00591764,0.00565625,0.00579435,0.00595234,0.00603055,0.00629281,0.00629986,0.00580839,0.00582114,0.00579121,0.00575827,0.00606091,0.00843581,0.00573486,0.00582234,0.00595465,0.00731235,0.00568532,0.00568419,0.00598397,0.00613165,0.00581396,0.00569074,0.00569506,0.00579776,0.00575924,0.00587313,0.00723362,0.0059421,0.00589815,0.00636097,0.00586157,0.00579587,0.00674156,0.00611212,0.00617111,0.00636917,0.00592077,0.00585718,0.00625076,0.00632334,0.00677833,0.00616917,0.00586352,0.0059895,0.00627373,0.0058704,0.00749875,0.00589769
,0.00864501,0.00714441,0.00653927,0.00619145,0.00607957,0.00598279,0.00646112,0.00640305,0.00603114,0.00621849,0.00600579,0.00588534,0.00560615,0.00585335,0.00606779,0.00669171,0.00575092,0.00575689,0.00573477,0.00603453,0.00601781,0.00592381,0.00583918,0.00599552,0.00587767,0.00572471,0.00600317,0.00605403,0.00606675,0.00599059,0.00618335,0.00577146,0.00618155,0.00561351,0.00563967,0.0060379,0.00568444,0.00596008,0.0056924,0.00583345,0.0059169,0.00610104,0.00590765,0.00556762,0.00614197,0.00597077,0.00623556,0.00718284,0.00595345,0.00578011,0.00659889,0.00721521,0.00606728,0.00661353,0.00571734,0.00561471,0.00606717,0.00583093,0.00674469,0.00573311,0.00574073,0.00623275,0.00592127,0.0069322,0.00565359,0.00567365,0.00579027,0.00653515,0.00584703,0.00595824,0.00818389,0.00593946,0.00757136,0.00574268,0.00587287,0.00568872,0.00572655,0.00592032,0.00733762,0.00583541,0.00597549,0.00589172,0.00638306,0.00577728,0.00667205,0.00634303,0.00694432,0.00623721,0.00615836,0.00594368,0.00583384,0.00593261,0.00601476,0.00584975,0.00589095,0.00635617,0.0060004,0.00676977,0.00615064,0.00705684
,0.00827902,0.0070992,0.0068658,0.00614747,0.00602911,0.00616843,0.00635577,0.0064591,0.0059262,0.00608307,0.00605198,0.00623034,0.00557662,0.00622358,0.00607675,0.00595136,0.00663276,0.00712299,0.0061727,0.00576925,0.00582142,0.00663012,0.00558469,0.00592966,0.00623541,0.00619132,0.00566337,0.00615209,0.00583113,0.00582637,0.0073113,0.00572225,0.00574065,0.00599276,0.00629483,0.00587599,0.00604898,0.00573356,0.00630696,0.00598074,0.00607738,0.0059533,0.00580078,0.00642168,0.00622465,0.00570105,0.00600821,0.0060732,0.00571212,0.00568968,0.00595745,0.00681309,0.00611806,0.00573522,0.00617689,0.00678802,0.00738946,0.00582855,0.00578076,0.00590414,0.00676622,0.00583164,0.00645072,0.00605052,0.00581077,0.00623984,0.00714135,0.00598238,0.00572537,0.00577138,0.0064856,0.00573631,0.00676122,0.00569032,0.0057775,0.00569817,0.00585491,0.00570113,0.00745713,0.0059401,0.00602989,0.00605551,0.00572981,0.00610392,0.00656859,0.00603385,0.00598784,0.00649571,0.00598311,0.00608293,0.00649514,0.00609202,0.00594987,0.00699115,0.00617447,0.00599539,0.00605479,0.0063439,0.00622821,0.00588884
